n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 4.00, 0.00,2, 1.00, 197.00, 0.00, 0, 0,
 600, 4.00, 0.00,2, 1.00, 190.00, 172.00, 12, 12,
 900, 4.00, 0.00,3, 0.00, 190.00, 75.00, 8, 8,
 200, 3.00, 0.00,3, 0.00, 190.00, 3.00, 1, 1,
 700, 4.00, 0.00,3, 0.00, 192.00, 279.00, 10, 5,
 50, 4.00, 0.00,3, 0.00, 199.00, 0.00, 0, 0,
 300, 4.00, 0.00,3, 0.00, 192.00, 0.00, 0, 0,
 400, 3.00, 1.00,2, 0.00, 191.00, 79.00, 5, 4,
 500, 4.00, 0.00,3, 0.00, 193.00, 20.00, 7, 5,
 800, 4.00, 0.00,3, 0.00, 190.00, 137.00, 13, 10,
 100, 5.00, 0.00,3, 0.00, 196.00, 3.00, 3, 3,
 1000, 4.00, 0.00,3, 0.00, 193.00, 314.00, 16, 14,
