n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 4.00, 1.00,2, 1.00, 197.00, 0.00, 0, 0,
 600, 4.00, 0.00,3, 0.00, 188.00, 173.00, 12, 12,
 900, 3.00, 0.00,3, 0.00, 190.00, 75.00, 8, 8,
 200, 4.00, 1.00,3, 0.00, 191.00, 4.00, 1, 1,
 700, 8.00, 1.00,4, 0.00, 193.00, 280.00, 10, 5,
 50, 3.00, 0.00,3, 1.00, 191.00, 0.00, 0, 0,
 300, 3.00, 1.00,2, 1.00, 191.00, 0.00, 0, 0,
 400, 4.00, 0.00,2, 1.00, 194.00, 63.00, 5, 4,
 500, 4.00, 0.00,3, 1.00, 190.00, 20.00, 7, 5,
 800, 3.00, 1.00,2, 0.00, 192.00, 138.00, 13, 10,
 100, 3.00, 0.00,3, 0.00, 190.00, 3.00, 3, 3,
 1000, 3.00, 1.00,2, 0.00, 189.00, 323.00, 16, 14,
