moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,7.0, 247.00, 0.00, 0, 0
 600,7.0, 243.00, 0.00, 0, 0
 900,7.0, 245.00, 1.00, 2, 1
 200,8.0, 242.00, 0.00, 0, 0
 700,9.0, 241.00, 1.00, 1, 1
 50,7.0, 242.00, 0.00, 0, 0
 300,8.0, 247.00, 0.00, 0, 0
 400,7.0, 240.00, 3.00, 2, 1
 500,9.0, 243.00, 1.00, 1, 0
 800,8.0, 241.00, 1.00, 3, 1
 100,7.0, 240.00, 2.00, 2, 2
 1000,7.0, 244.00, 2.00, 5, 3
