n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 5.00, 0.00,3, 0.00, 189.00, 0.00, 0, 0,
 600, 4.00, 0.00,3, 0.00, 191.00, 112.00, 12, 12,
 900, 3.00, 1.00,2, 1.00, 185.00, 99.00, 8, 8,
 200, 4.00, 1.00,2, 0.00, 189.00, 45.00, 1, 1,
 700, 4.00, 0.00,3, 1.00, 190.00, 233.00, 10, 5,
 50, 3.00, 1.00,2, 1.00, 185.00, 0.00, 0, 0,
 300, 4.00, 0.00,4, 0.00, 187.00, 0.00, 0, 0,
 400, 4.00, 1.00,3, 0.00, 189.00, 9.00, 5, 4,
 500, 4.00, 0.00,3, 0.00, 185.00, 25.00, 7, 5,
 800, 4.00, 0.00,2, 1.00, 186.00, 172.00, 13, 10,
 100, 3.00, 0.00,3, 0.00, 188.00, 9.00, 3, 3,
 1000, 3.00, 0.00,3, 0.00, 187.00, 95.00, 16, 14,
