n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 0.00,5, 1.00, 496.00, 0.00, 0, 0,
 600, 5.00, 0.00,6, 0.00, 485.00, 3.00, 6, 4,
 900, 6.00, 0.00,5, 1.00, 490.00, 6.00, 4, 4,
 200, 6.00, 0.00,5, 0.00, 489.00, 0.00, 0, 0,
 700, 6.00, 0.00,5, 0.00, 494.00, 21.00, 6, 2,
 50, 5.00, 1.00,5, 0.00, 490.00, 0.00, 0, 0,
 300, 6.00, 0.00,5, 1.00, 489.00, 0.00, 1, 1,
 400, 7.00, 0.00,6, 0.00, 491.00, 1.00, 1, 0,
 500, 6.00, 0.00,6, 0.00, 504.00, 1.00, 2, 2,
 800, 5.00, 1.00,5, 0.00, 489.00, 4.00, 5, 4,
 100, 6.00, 0.00,5, 0.00, 489.00, 1.00, 2, 1,
 1000, 6.00, 0.00,5, 1.00, 491.00, 3.00, 10, 6,
