moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,36.80,879.00,0.00,0.00,0.00,,10.00,36.40,865.40,0.00,0.00,0.00
600.00,37.00,888.60,725.20,6.00,4.00,,600.00,36.20,861.60,705.60,6.00,4.00
900.00,37.20,884.40,401.20,4.00,3.00,,900.00,36.60,859.20,391.20,4.00,3.00
200.00,37.20,878.20,436.00,1.00,1.00,,200.00,37.00,861.20,429.40,1.00,1.00
700.00,37.40,884.20,723.20,4.00,3.00,,700.00,36.80,859.40,701.20,4.00,3.00
50.00,36.80,883.40,0.00,0.00,0.00,,50.00,36.40,865.20,0.00,0.00,0.00
300.00,36.80,877.00,1.00,0.00,0.00,,300.00,36.60,860.00,0.20,0.00,0.00
400.00,36.80,875.80,45.80,2.00,2.00,,400.00,36.60,860.00,44.60,2.00,2.00
500.00,37.00,881.20,846.40,5.00,5.00,,500.00,36.80,865.20,827.40,5.00,5.00
800.00,37.00,879.20,891.80,4.00,4.00,,800.00,36.20,857.40,861.40,4.00,4.00
100.00,36.80,887.80,178.60,2.00,2.00,,100.00,36.20,863.60,174.20,2.00,2.00
1000.00,37.80,889.20,1648.00,9.00,8.00,,1000.00,36.40,862.00,1623.00,9.00,8.00
