moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,3.80,14.60,0.00,0.00,0.00,,10.00,3.40,17.00,0.00,0.00,0.00
600.00,3.60,14.20,13.60,10.00,8.00,,600.00,3.80,14.60,6.40,10.00,8.00
900.00,3.80,14.60,10.00,9.00,7.00,,900.00,3.80,11.80,3.20,9.00,7.00
200.00,3.60,16.20,2.60,1.00,1.00,,200.00,4.20,14.20,1.00,1.00,1.00
700.00,2.40,12.40,10.80,14.00,8.00,,700.00,3.60,15.80,5.00,14.00,8.00
50.00,3.20,14.80,0.80,0.00,0.00,,50.00,2.20,12.00,0.00,0.00,0.00
300.00,3.20,14.60,3.60,2.00,2.00,,300.00,3.20,14.20,0.80,2.00,2.00
400.00,3.80,14.60,6.40,8.00,6.00,,400.00,2.20,13.00,1.80,8.00,6.00
500.00,4.40,13.00,6.80,11.00,8.00,,500.00,3.40,15.20,3.00,11.00,8.00
800.00,4.00,15.00,12.60,10.00,8.00,,800.00,4.20,13.40,3.40,10.00,8.00
100.00,3.00,13.40,3.40,4.00,4.00,,100.00,3.60,12.40,2.00,4.00,4.00
1000.00,3.20,12.20,16.00,22.00,17.00,,1000.00,3.20,17.20,6.40,22.00,17.00
