n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 2.00, 0.00,0, 0.00, 12.00, 0.00, 0, 0,
 600, 2.00, 1.00,0, 1.00, 14.00, 7.00, 10, 8,
 900, 1.00, 0.00,1, 0.00, 11.00, 3.00, 9, 7,
 200, 1.00, 0.00,1, 0.00, 11.00, 1.00, 1, 1,
 700, 2.00, 1.00,0, 1.00, 15.00, 5.00, 14, 8,
 50, 1.00, 0.00,0, 0.00, 11.00, 0.00, 0, 0,
 300, 3.00, 0.00,1, 0.00, 15.00, 1.00, 2, 2,
 400, 1.00, 1.00,0, 0.00, 14.00, 2.00, 8, 6,
 500, 1.00, 0.00,1, 0.00, 12.00, 3.00, 11, 8,
 800, 1.00, 0.00,0, 1.00, 12.00, 3.00, 10, 8,
 100, 3.00, 0.00,1, 0.00, 12.00, 2.00, 4, 4,
 1000, 1.00, 0.00,0, 0.00, 11.00, 7.00, 22, 17,
