n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 4.00, 0.00,3, 0.00, 153.00, 0.00, 0, 0,
 600, 3.00, 0.00,3, 0.00, 151.00, 7.00, 6, 6,
 900, 3.00, 0.00,2, 1.00, 167.00, 6.00, 1, 1,
 200, 3.00, 0.00,2, 0.00, 151.00, 2.00, 1, 0,
 700, 5.00, 0.00,5, 1.00, 158.00, 7.00, 2, 1,
 50, 7.00, 0.00,5, 0.00, 154.00, 0.00, 0, 0,
 300, 3.00, 0.00,2, 0.00, 150.00, 2.00, 0, 0,
 400, 3.00, 0.00,3, 0.00, 150.00, 5.00, 3, 1,
 500, 3.00, 0.00,2, 0.00, 150.00, 6.00, 3, 2,
 800, 3.00, 0.00,2, 0.00, 168.00, 5.00, 5, 5,
 100, 2.00, 1.00,2, 0.00, 150.00, 6.00, 3, 2,
 1000, 4.00, 0.00,3, 0.00, 151.00, 15.00, 9, 9,
