n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 5.00, 1.00,5, 0.00, 501.00, 0.00, 0, 0,
 600, 5.00, 1.00,5, 0.00, 492.00, 6.00, 6, 4,
 900, 5.00, 0.00,6, 0.00, 511.00, 9.00, 4, 4,
 200, 6.00, 0.00,5, 1.00, 505.00, 2.00, 0, 0,
 700, 5.00, 0.00,6, 0.00, 489.00, 25.00, 6, 2,
 50, 6.00, 0.00,5, 1.00, 492.00, 0.00, 0, 0,
 300, 6.00, 0.00,5, 1.00, 508.00, 1.00, 1, 1,
 400, 6.00, 0.00,5, 0.00, 494.00, 5.00, 1, 0,
 500, 5.00, 0.00,6, 0.00, 488.00, 5.00, 2, 2,
 800, 6.00, 0.00,5, 1.00, 486.00, 8.00, 5, 4,
 100, 6.00, 0.00,5, 1.00, 495.00, 2.00, 2, 1,
 1000, 5.00, 1.00,5, 0.00, 489.00, 9.00, 10, 6,
