n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 4.00, 0.00,3, 0.00, 195.00, 0.00, 0, 0,
 600, 8.00, 1.00,2, 0.00, 192.00, 174.00, 12, 12,
 900, 3.00, 0.00,3, 0.00, 190.00, 76.00, 8, 8,
 200, 4.00, 0.00,3, 1.00, 189.00, 3.00, 1, 1,
 700, 3.00, 0.00,3, 1.00, 192.00, 274.00, 10, 5,
 50, 3.00, 0.00,3, 0.00, 193.00, 0.00, 0, 0,
 300, 3.00, 0.00,3, 0.00, 191.00, 0.00, 0, 0,
 400, 8.00, 0.00,6, 1.00, 190.00, 61.00, 5, 4,
 500, 7.00, 0.00,2, 1.00, 193.00, 20.00, 7, 5,
 800, 4.00, 1.00,3, 0.00, 196.00, 138.00, 13, 10,
 100, 4.00, 0.00,3, 0.00, 191.00, 2.00, 3, 3,
 1000, 4.00, 0.00,3, 0.00, 208.00, 320.00, 16, 14,
