n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 0.00,3, 0.00, 152.00, 0.00, 0, 0,
 600, 2.00, 0.00,2, 1.00, 149.00, 5.00, 6, 6,
 900, 7.00, 0.00,3, 0.00, 153.00, 0.00, 1, 1,
 200, 4.00, 0.00,2, 1.00, 151.00, 1.00, 1, 0,
 700, 3.00, 0.00,2, 1.00, 152.00, 2.00, 2, 1,
 50, 3.00, 0.00,3, 0.00, 154.00, 0.00, 0, 0,
 300, 6.00, 1.00,5, 0.00, 164.00, 0.00, 0, 0,
 400, 7.00, 0.00,5, 1.00, 155.00, 3.00, 3, 1,
 500, 4.00, 0.00,2, 1.00, 154.00, 3.00, 3, 2,
 800, 3.00, 0.00,3, 0.00, 152.00, 2.00, 5, 5,
 100, 3.00, 1.00,2, 0.00, 154.00, 6.00, 3, 2,
 1000, 5.00, 1.00,4, 0.00, 148.00, 9.00, 9, 9,
