moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,6.60,26.60,0.00,0.00,0.00,,10.00,5.40,25.00,0.00,0.00,0.00
600.00,6.40,24.00,12.40,12.00,12.00,,600.00,5.00,23.60,9.20,12.00,12.00
900.00,7.20,26.80,9.00,11.00,11.00,,900.00,7.20,25.40,6.00,11.00,11.00
200.00,5.60,25.40,1.20,1.00,1.00,,200.00,5.00,26.00,1.00,1.00,1.00
700.00,6.20,25.60,14.20,13.00,13.00,,700.00,5.40,27.40,10.00,13.00,13.00
50.00,5.40,26.20,0.40,0.00,0.00,,50.00,5.80,23.00,0.00,0.00,0.00
300.00,4.20,26.80,2.20,2.00,2.00,,300.00,4.20,26.20,1.00,2.00,2.00
400.00,5.40,25.80,5.40,6.00,5.00,,400.00,5.60,23.20,2.00,6.00,5.00
500.00,5.40,25.00,10.00,8.00,8.00,,500.00,5.00,23.60,7.00,8.00,8.00
800.00,5.40,24.80,12.20,12.00,12.00,,800.00,5.60,24.20,7.00,12.00,12.00
100.00,6.20,26.00,8.20,4.00,4.00,,100.00,6.40,25.60,7.20,4.00,4.00
1000.00,5.60,24.60,27.60,22.00,20.00,,1000.00,4.60,25.20,20.00,21.00,20.00
