n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 1.00,2, 1.00, 154.00, 0.00, 0, 0,
 600, 7.00, 0.00,2, 0.00, 149.00, 7.00, 6, 6,
 900, 7.00, 0.00,5, 0.00, 152.00, 7.00, 1, 1,
 200, 7.00, 0.00,4, 0.00, 151.00, 1.00, 1, 0,
 700, 4.00, 0.00,3, 0.00, 154.00, 7.00, 2, 1,
 50, 3.00, 0.00,3, 0.00, 155.00, 0.00, 0, 0,
 300, 2.00, 0.00,2, 1.00, 155.00, 1.00, 0, 0,
 400, 3.00, 0.00,3, 0.00, 153.00, 5.00, 3, 1,
 500, 3.00, 0.00,2, 1.00, 151.00, 5.00, 3, 2,
 800, 4.00, 0.00,2, 1.00, 149.00, 5.00, 5, 5,
 100, 4.00, 0.00,2, 1.00, 152.00, 6.00, 3, 2,
 1000, 3.00, 0.00,2, 1.00, 150.00, 15.00, 9, 9,
