n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 3.00, 0.00,3, 0.00, 185.00, 0.00, 0, 0,
 600, 4.00, 0.00,2, 1.00, 187.00, 112.00, 12, 12,
 900, 3.00, 1.00,2, 1.00, 188.00, 103.00, 8, 8,
 200, 3.00, 0.00,3, 0.00, 188.00, 48.00, 1, 1,
 700, 4.00, 0.00,3, 0.00, 184.00, 236.00, 10, 5,
 50, 4.00, 0.00,3, 1.00, 191.00, 0.00, 0, 0,
 300, 3.00, 1.00,2, 0.00, 188.00, 2.00, 0, 0,
 400, 3.00, 0.00,3, 0.00, 189.00, 12.00, 5, 4,
 500, 4.00, 0.00,3, 0.00, 186.00, 28.00, 7, 5,
 800, 4.00, 0.00,3, 0.00, 184.00, 176.00, 13, 10,
 100, 4.00, 0.00,3, 0.00, 186.00, 10.00, 3, 3,
 1000, 4.00, 1.00,3, 0.00, 185.00, 99.00, 16, 14,
