n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 17.00, 0.00,20, 0.00, 876.00, 0.00, 0, 0,
 600, 16.00, 1.00,19, 0.00, 861.00, 719.00, 6, 4,
 900, 17.00, 0.00,19, 0.00, 855.00, 388.00, 4, 3,
 200, 17.00, 0.00,20, 0.00, 858.00, 424.00, 1, 1,
 700, 17.00, 0.00,19, 0.00, 859.00, 700.00, 4, 3,
 50, 17.00, 0.00,19, 1.00, 861.00, 0.00, 0, 0,
 300, 16.00, 0.00,19, 1.00, 862.00, 0.00, 0, 0,
 400, 18.00, 0.00,19, 0.00, 859.00, 44.00, 2, 2,
 500, 17.00, 0.00,19, 1.00, 857.00, 830.00, 5, 5,
 800, 17.00, 0.00,19, 0.00, 854.00, 857.00, 4, 4,
 100, 17.00, 0.00,19, 0.00, 863.00, 174.00, 2, 2,
 1000, 16.00, 1.00,19, 0.00, 854.00, 1614.00, 9, 8,
