n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,25.0,234.0,0.0,0.0, 0, 0
20,50.0,381.0,0.0,0.0, 1, 1
30,85.0,1691.0,2.0,1.0, 9, 7
50,129.0,2485.0,2.0,1.0, 15, 12
40,102.0,2272.0,2.0,1.0, 10, 9
60,150.0,4063.0,4.0,2.0, 27, 22
70,186.0,4483.0,6.0,3.0, 31, 22
90,227.0,6053.0,7.0,5.0, 52, 38
80,211.0,5607.0,7.0,4.0, 33, 29
100,253.0,6908.0,13.0,9.0, 81, 62
