n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 27.00, 1.00,26, 1.00, 496.00, 2, 1.00, 0.00, 0.00, 0.00, 2, 1, 0, 0, 0,
20, 53.00, 1.00,52, 3.00, 1229.00, 5, 0.00, 1.00, 0.00, 0.00, 5, 3, 2, 2, 2,
30, 79.00, 3.00,79, 3.00, 5467.00, 22, 1.00, 1.00, 1.00, 0.00, 22, 29, 11, 11, 7,
50, 132.00, 4.00,130, 6.00, 7776.00, 31, 1.00, 1.00, 0.00, 1.00, 31, 27, 16, 16, 11,
40, 114.00, 3.00,105, 5.00, 6609.00, 27, 2.00, 0.00, 0.00, 1.00, 27, 15, 11, 11, 8,
60, 159.00, 4.00,158, 7.00, 11798.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
70, 186.00, 6.00,180,1,1,1,1,1,1,1,1,1,1,1,1,
90, 242.00, 7.00,233,1,1,1,1,1,1,1,1,1,1,1,1,
80, 214.00, 6.00,213,1,1,1,1,1,1,1,1,1,1,1,1,
100, 267.00, 8.00,258,1,1,1,1,1,1,1,1,1,1,1,1,
