n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,36.0,294.0,0.0,0.0, 0, 0
20,66.0,479.0,2.0,2.0, 2, 2
30,97.0,2339.0,18.0,17.0, 18, 16
50,162.0,4044.0,8.0,8.0, 29, 21
40,130.0,3173.0,23.0,21.0, 18, 15
60,192.0,4888.0,9.0,7.0, 42, 34
70,222.0,5886.0,62.0,61.0, 51, 39
90,284.0,7562.0,77.0,76.0, 84, 65
80,263.0,6967.0,55.0,55.0, 68, 57
100,319.0,8511.0,101.0,101.0, 140, 113
