n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,12.0,18.0,0.0,0.0, 2, 0
20,17.0,53.0,1.0,0.0, 4, 2
30,26.0,128.0,2.0,2.0, 31, 24
50,59.0,246.0,4.0,3.0, 43, 35
40,40.0,202.0,3.0,1.0, 21, 19
60,61.0,319.0,5.0,5.0, 62, 49
70,65.0,364.0,6.0,5.0, 77, 61
90,78.0,484.0,9.0,11.0, 119, 84
80,74.0,429.0,7.0,7.0, 101, 85
100,94.0,538.0,12.0,14.0, 200, 161
