n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 13.00, 1.00,10, 1.00, 239.00, 3, 0.00, 0.00, 1.00, 0.00, 3, 2, 0, 0, 0,
20, 27.00, 0.00,21, 2.00, 391.00, 5, 0.00, 0.00, 0.00, 0.00, 5, 3, 1, 1, 1,
30, 46.00, 3.00,41, 5.00, 1725.00, 22, 1.00, 1.00, 1.00, 0.00, 22, 25, 9, 9, 7,
50, 70.00, 2.00,52, 5.00, 2550.00, 32, 1.00, 1.00, 1.00, 0.00, 32, 26, 15, 15, 12,
40, 59.00, 1.00,43, 5.00, 2249.00, 29, 1.00, 1.00, 1.00, 0.00, 29, 17, 10, 10, 9,
60, 89.00, 2.00,62, 6.00, 4080.00, 52, 2.00, 2.00, 1.00, 1.00, 52, 52, 27, 27, 22,
70, 106.00, 3.00,74, 8.00, 4481.00, 57, 3.00, 2.00, 1.00, 2.00, 57, 63, 31, 31, 22,
90, 118.00, 4.00,103, 10.00, 6042.00, 77, 3.00, 3.00, 2.00, 2.00, 77, 102, 52, 52, 38,
80, 104.00, 3.00,82, 8.00, 5603.00, 71, 3.00, 4.00, 3.00, 3.00, 71, 83, 33, 33, 29,
100, 143.00, 4.00,106, 11.00, 7027.00, 88, 4.00, 7.00, 3.00, 5.00, 88, 168, 81, 81, 62,
