n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 0.00,16, 1.00, 359.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 38.00, 0.00,32, 3.00, 494.00, 4, 0.00, 0.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 57.00, 1.00,48, 4.00, 2308.00, 19, 1.00, 1.00, 0.00, 0.00, 19, 21, 7, 7, 5,
50, 97.00, 1.00,82, 6.00, 3206.00, 26, 1.00, 1.00, 1.00, 0.00, 26, 18, 7, 7, 5,
40, 75.00, 2.00,64, 5.00, 2585.00, 21, 1.00, 1.00, 0.00, 0.00, 21, 11, 8, 8, 5,
60, 116.00, 1.00,104, 6.00, 4453.00, 36, 2.00, 1.00, 1.00, 1.00, 36, 29, 9, 9, 4,
70, 129.00, 2.00,114, 8.00, 6283.00, 51, 3.00, 1.00, 1.00, 1.00, 51, 42, 15, 15, 12,
90, 172.00, 3.00,143, 10.00, 7790.00, 63, 2.00, 3.00, 2.00, 1.00, 63, 61, 17, 17, 11,
80, 152.00, 2.00,130, 9.00, 7068.00, 57, 3.00, 2.00, 1.00, 1.00, 57, 57, 19, 19, 8,
100, 186.00, 2.00,161, 11.00, 9528.00, 77, 3.00, 6.00, 2.00, 4.00, 77, 106, 37, 37, 21,
