n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 0.00,16, 1.00, 371.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 38.00, 1.00,32, 2.00, 512.00, 4, 0.00, 0.00, 0.00, 1.00, 4, 2, 2, 2, 2,
30, 58.00, 1.00,51, 4.00, 2337.00, 19, 1.00, 1.00, 1.00, 0.00, 19, 21, 7, 7, 5,
50, 94.00, 1.00,82, 6.00, 3182.00, 26, 1.00, 1.00, 0.00, 0.00, 26, 18, 7, 7, 5,
40, 77.00, 1.00,64, 5.00, 2576.00, 21, 1.00, 0.00, 0.00, 0.00, 21, 11, 8, 8, 5,
60, 114.00, 2.00,95, 7.00, 4428.00, 36, 2.00, 1.00, 1.00, 0.00, 36, 29, 9, 9, 4,
70, 130.00, 2.00,118, 8.00, 6083.00, 51, 3.00, 1.00, 1.00, 1.00, 51, 42, 15, 15, 12,
90, 168.00, 3.00,143, 10.00, 7632.00, 63, 3.00, 2.00, 1.00, 2.00, 63, 61, 17, 17, 11,
80, 149.00, 2.00,128, 9.00, 6888.00, 57, 2.00, 3.00, 1.00, 2.00, 57, 57, 19, 19, 8,
100, 186.00, 3.00,159, 12.00, 9263.00, 77, 3.00, 7.00, 2.00, 4.00, 77, 106, 37, 37, 21,
