n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 27.00, 1.00,28, 1.00, 503.00, 2, 0.00, 0.00, 0.00, 0.00, 2, 1, 0, 0, 0,
20, 53.00, 2.00,52, 3.00, 1234.00, 5, 1.00, 0.00, 0.00, 0.00, 5, 3, 2, 2, 2,
30, 81.00, 3.00,78, 4.00, 5386.00, 22, 1.00, 1.00, 0.00, 1.00, 22, 29, 11, 11, 7,
50, 134.00, 4.00,129, 6.00, 7605.00, 31, 1.00, 1.00, 0.00, 1.00, 31, 27, 16, 16, 11,
40, 106.00, 3.00,105, 5.00, 6591.00, 27, 1.00, 1.00, 0.00, 0.00, 27, 15, 11, 11, 8,
60, 160.00, 4.00,156, 8.00, 11860.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
70, 184.00, 6.00,179,1,1,1,1,1,1,1,1,1,1,1,1,
90, 241.00, 7.00,231,1,1,1,1,1,1,1,1,1,1,1,1,
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 265.00, 8.00,256,1,1,1,1,1,1,1,1,1,1,1,1,
