n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 12.00, 1.00,4, 1.00, 37.00, 3, 0.00, 0.00, 0.00, 1.00, 3, 2, 2, 2, 2,
20, 20.00, 1.00,7, 2.00, 89.00, 8, 1.00, 0.00, 0.00, 0.00, 8, 5, 3, 3, 2,
30, 29.00, 2.00,10, 4.00, 279.00, 25, 1.00, 2.00, 1.00, 1.00, 25, 37, 29, 29, 27,
50, 48.00, 3.00,16, 6.00, 440.00, 40, 2.00, 1.00, 1.00, 1.00, 40, 44, 34, 34, 33,
40, 48.00, 2.00,13, 5.00, 363.00, 33, 2.00, 1.00, 0.00, 1.00, 33, 26, 21, 21, 20,
60, 59.00, 3.00,19, 7.00, 606.00, 55, 2.00, 2.00, 2.00, 2.00, 55, 70, 56, 56, 53,
70, 72.00, 4.00,23, 9.00, 699.00, 63, 3.00, 2.00, 2.00, 3.00, 63, 90, 65, 65, 61,
90, 85.00, 5.00,28, 10.00, 931.00, 84, 4.00, 4.00, 4.00, 4.00, 84, 144, 106, 106, 103,
80, 78.00, 4.00,26, 10.00, 858.00, 78, 3.00, 4.00, 3.00, 4.00, 78, 123, 96, 96, 86,
100, 94.00, 5.00,32, 12.00, 1027.00, 93, 4.00, 7.00, 5.00, 8.00, 93, 220, 183, 183, 170,
