n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,56.0,497.0,0.0,0.0, 0, 0
20,109.0,1216.0,0.0,0.0, 2, 2
30,163.0,5352.0,1.0,1.0, 11, 7
50,276.0,7646.0,3.0,1.0, 16, 11
40,217.0,6543.0,2.0,1.0, 11, 8
60,326.0,11855.0,4.0,2.0, 28, 16
70,371.0,1.0,2.0,2.0,1,1
90,475.0,1.0,2.0,2.0,1,1
80,422.0,1.0,2.0,2.0,1,1
100,542.0,1.0,2.0,2.0,1,1
