n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 21.00, 1.00,13, 1.00, 294.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 36.00, 2.00,26, 2.00, 479.00, 5, 1.00, 1.00, 0.00, 2.00, 5, 3, 2, 2, 2,
30, 53.00, 2.00,39, 3.00, 2339.00, 25, 1.00, 17.00, 1.00, 16.00, 25, 34, 18, 18, 16,
50, 89.00, 4.00,64, 5.00, 4044.00, 44, 2.00, 6.00, 1.00, 7.00, 44, 52, 29, 29, 21,
40, 71.00, 3.00,51, 5.00, 3173.00, 34, 2.00, 21.00, 1.00, 20.00, 34, 26, 18, 18, 15,
60, 104.00, 5.00,76, 7.00, 4888.00, 53, 2.00, 7.00, 1.00, 6.00, 53, 68, 42, 42, 34,
70, 121.00, 5.00,88, 8.00, 5886.00, 64, 2.00, 60.00, 2.00, 59.00, 64, 100, 51, 51, 39,
90, 152.00, 7.00,116, 9.00, 7562.00, 84, 4.00, 73.00, 3.00, 73.00, 84, 145, 84, 84, 65,
80, 140.00, 7.00,107, 9.00, 6967.00, 76, 3.00, 52.00, 3.00, 52.00, 76, 119, 68, 68, 57,
100, 171.00, 8.00,129, 11.00, 8511.00, 93, 4.00, 97.00, 6.00, 95.00, 93, 237, 140, 140, 113,
