n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 27.00, 0.00,27, 1.00, 495.00, 2, 0.00, 0.00, 0.00, 0.00, 2, 1, 0, 0, 0,
20, 55.00, 2.00,52, 3.00, 1226.00, 5, 0.00, 0.00, 0.00, 0.00, 5, 3, 2, 2, 2,
30, 79.00, 3.00,85, 3.00, 5398.00, 22, 1.00, 0.00, 1.00, 0.00, 22, 29, 11, 11, 7,
50, 133.00, 4.00,131, 5.00, 7600.00, 31, 2.00, 1.00, 1.00, 0.00, 31, 27, 16, 16, 11,
40, 112.00, 3.00,103, 5.00, 6545.00, 27, 1.00, 1.00, 0.00, 1.00, 27, 15, 11, 11, 8,
60, 161.00, 5.00,156, 7.00, 11782.00, 48, 3.00, 2.00, 1.00, 2.00, 48, 43, 28, 28, 16,
70, 187.00, 6.00,179,1,1,1,1,1,1,1,1,1,1,1,1,
90, 239.00, 7.00,232,1,1,1,1,1,1,1,1,1,1,1,1,
80, 218.00, 6.00,205,1,1,1,1,1,1,1,1,1,1,1,1,
100, 266.00, 8.00,257,1,1,1,1,1,1,1,1,1,1,1,1,
