n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 6.00, 1.00,1, 1.00, 17.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 0,
20, 13.00, 2.00,2, 3.00, 56.00, 10, 0.00, 0.00, 1.00, 0.00, 10, 10, 4, 4, 2,
30, 22.00, 3.00,3, 3.00, 132.00, 24, 1.00, 1.00, 1.00, 0.00, 24, 42, 31, 31, 24,
50, 29.00, 4.00,5, 6.00, 251.00, 46, 2.00, 1.00, 1.00, 1.00, 46, 66, 43, 43, 35,
40, 24.00, 3.00,4, 4.00, 206.00, 38, 2.00, 0.00, 1.00, 0.00, 38, 42, 21, 21, 19,
60, 46.00, 5.00,6, 6.00, 321.00, 59, 3.00, 3.00, 3.00, 2.00, 59, 121, 62, 62, 49,
70, 40.00, 6.00,7, 8.00, 373.00, 68, 3.00, 2.00, 4.00, 2.00, 68, 144, 77, 77, 61,
90, 52.00, 7.00,9, 10.00, 481.00, 88, 4.00, 5.00, 6.00, 5.00, 88, 261, 119, 119, 84,
80, 63.00, 6.00,8, 9.00, 422.00, 78, 4.00, 3.00, 3.00, 3.00, 78, 167, 101, 101, 85,
100, 58.00, 8.00,10, 11.00, 536.00, 97, 4.00, 7.00, 8.00, 7.00, 97, 335, 200, 200, 161,
