n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 27.00, 1.00,26, 1.00, 501.00, 2, 0.00, 0.00, 0.00, 0.00, 2, 1, 0, 0, 0,
20, 54.00, 1.00,52, 3.00, 1219.00, 5, 0.00, 1.00, 0.00, 0.00, 5, 3, 2, 2, 2,
30, 80.00, 2.00,78, 3.00, 5379.00, 22, 1.00, 1.00, 1.00, 0.00, 22, 29, 11, 11, 7,
50, 134.00, 3.00,130, 6.00, 7608.00, 31, 1.00, 1.00, 1.00, 0.00, 31, 27, 16, 16, 11,
40, 106.00, 3.00,104, 5.00, 6581.00, 27, 1.00, 0.00, 0.00, 0.00, 27, 15, 11, 11, 8,
60, 159.00, 5.00,156, 7.00, 11801.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
70, 185.00, 5.00,179,1,1,1,1,1,1,1,1,1,1,1,1,
90, 238.00, 8.00,232,1,1,1,1,1,1,1,1,1,1,1,1,
80, 214.00, 6.00,202,1,1,1,1,1,1,1,1,1,1,1,1,
100, 266.00, 8.00,256,1,1,1,1,1,1,1,1,1,1,1,1,
