n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 1.00,12, 1.00, 286.00, 3, 0.00, 1.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 35.00, 2.00,25, 2.00, 455.00, 5, 0.00, 2.00, 0.00, 2.00, 5, 3, 2, 2, 2,
30, 53.00, 2.00,39, 3.00, 2261.00, 25, 2.00, 16.00, 1.00, 16.00, 25, 34, 18, 18, 16,
50, 89.00, 4.00,63, 6.00, 4193.00, 44, 2.00, 7.00, 2.00, 6.00, 44, 52, 29, 29, 21,
40, 72.00, 3.00,51, 4.00, 3127.00, 34, 2.00, 20.00, 0.00, 20.00, 34, 26, 18, 18, 15,
60, 108.00, 5.00,77, 7.00, 4921.00, 53, 2.00, 7.00, 2.00, 6.00, 53, 68, 42, 42, 34,
70, 121.00, 6.00,90, 7.00, 5887.00, 64, 2.00, 61.00, 2.00, 60.00, 64, 100, 51, 51, 39,
90, 162.00, 7.00,116, 10.00, 7797.00, 84, 3.00, 77.00, 4.00, 75.00, 84, 145, 84, 84, 65,
80, 139.00, 6.00,101, 9.00, 6923.00, 76, 3.00, 52.00, 3.00, 51.00, 76, 119, 68, 68, 57,
100, 170.00, 8.00,131, 11.00, 8593.00, 93, 3.00, 98.00, 6.00, 95.00, 93, 237, 140, 140, 113,
