n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,9.0,16.0,0.0,1.0, 2, 0
20,17.0,55.0,1.0,0.0, 4, 2
30,31.0,133.0,2.0,2.0, 31, 24
50,54.0,251.0,3.0,3.0, 43, 35
40,55.0,209.0,2.0,1.0, 21, 19
60,62.0,319.0,5.0,5.0, 62, 49
70,61.0,373.0,5.0,5.0, 77, 61
90,77.0,474.0,9.0,11.0, 119, 84
80,76.0,423.0,7.0,7.0, 101, 85
100,85.0,524.0,11.0,15.0, 200, 161
