n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,9.0,17.0,0.0,0.0, 2, 0
20,20.0,56.0,0.0,1.0, 4, 2
30,31.0,132.0,2.0,1.0, 31, 24
50,44.0,251.0,3.0,2.0, 43, 35
40,35.0,206.0,2.0,1.0, 21, 19
60,63.0,321.0,6.0,5.0, 62, 49
70,61.0,373.0,5.0,6.0, 77, 61
90,78.0,481.0,9.0,11.0, 119, 84
80,86.0,422.0,7.0,6.0, 101, 85
100,87.0,536.0,11.0,15.0, 200, 161
