n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,21.0,35.0,0.0,0.0, 2, 2
20,33.0,88.0,0.0,0.0, 3, 2
30,52.0,274.0,2.0,2.0, 29, 27
50,79.0,440.0,3.0,2.0, 34, 33
40,65.0,361.0,2.0,1.0, 21, 20
60,88.0,595.0,4.0,4.0, 56, 53
70,101.0,694.0,6.0,5.0, 65, 61
90,132.0,918.0,7.0,7.0, 106, 103
80,136.0,864.0,7.0,8.0, 96, 86
100,151.0,1025.0,11.0,13.0, 183, 170
