n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,15.0,34.0,0.0,0.0, 2, 2
20,39.0,91.0,0.0,0.0, 3, 2
30,44.0,285.0,2.0,2.0, 29, 27
50,79.0,446.0,3.0,2.0, 34, 33
40,59.0,368.0,2.0,1.0, 21, 20
60,94.0,618.0,4.0,3.0, 56, 53
70,103.0,701.0,6.0,5.0, 65, 61
90,128.0,927.0,7.0,7.0, 106, 103
80,132.0,881.0,7.0,8.0, 96, 86
100,150.0,1028.0,12.0,13.0, 183, 170
