n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 15.00, 0.00,11, 1.00, 241.00, 3, 0.00, 1.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 25.00, 1.00,21, 2.00, 389.00, 5, 1.00, 0.00, 0.00, 0.00, 5, 3, 1, 1, 1,
30, 44.00, 2.00,31, 3.00, 1740.00, 22, 1.00, 1.00, 1.00, 0.00, 22, 25, 9, 9, 7,
50, 70.00, 3.00,51, 5.00, 2483.00, 32, 1.00, 1.00, 1.00, 0.00, 32, 26, 15, 15, 12,
40, 53.00, 2.00,42, 5.00, 2321.00, 29, 2.00, 1.00, 1.00, 1.00, 29, 17, 10, 10, 9,
60, 77.00, 3.00,66, 6.00, 4060.00, 52, 2.00, 2.00, 1.00, 1.00, 52, 52, 27, 27, 22,
70, 92.00, 4.00,78, 7.00, 4585.00, 57, 3.00, 3.00, 2.00, 1.00, 57, 63, 31, 31, 22,
90, 122.00, 4.00,94, 10.00, 6060.00, 77, 3.00, 4.00, 3.00, 2.00, 77, 102, 52, 52, 38,
80, 104.00, 3.00,89, 9.00, 5521.00, 71, 3.00, 4.00, 2.00, 3.00, 71, 83, 33, 33, 29,
100, 139.00, 3.00,116, 14.00, 6900.00, 88, 4.00, 7.00, 4.00, 4.00, 88, 168, 81, 81, 62,
