n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 13.00, 1.00,10, 1.00, 238.00, 3, 0.00, 0.00, 1.00, 0.00, 3, 2, 0, 0, 0,
20, 28.00, 1.00,20, 3.00, 393.00, 5, 0.00, 0.00, 0.00, 0.00, 5, 3, 1, 1, 1,
30, 39.00, 2.00,35, 4.00, 1733.00, 22, 0.00, 2.00, 0.00, 1.00, 22, 25, 9, 9, 7,
50, 68.00, 2.00,52, 6.00, 2565.00, 32, 2.00, 0.00, 1.00, 0.00, 32, 26, 15, 15, 12,
40, 51.00, 2.00,41, 5.00, 2281.00, 29, 1.00, 1.00, 1.00, 0.00, 29, 17, 10, 10, 9,
60, 77.00, 3.00,65, 6.00, 4081.00, 52, 2.00, 2.00, 1.00, 1.00, 52, 52, 27, 27, 22,
70, 90.00, 3.00,72, 8.00, 4400.00, 57, 3.00, 3.00, 1.00, 2.00, 57, 63, 31, 31, 22,
90, 115.00, 4.00,98, 9.00, 5979.00, 77, 3.00, 3.00, 2.00, 2.00, 77, 102, 52, 52, 38,
80, 103.00, 4.00,85, 8.00, 5556.00, 71, 3.00, 4.00, 2.00, 2.00, 71, 83, 33, 33, 29,
100, 131.00, 7.00,107, 11.00, 6848.00, 88, 4.00, 7.00, 5.00, 4.00, 88, 168, 81, 81, 62,
