n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 1.00,2, 2.00, 112.00, 3.00, 5, 2,
 600, 14.00, 1.00,3, 3.00, 102.00, 123.00, 156, 122,
 900, 13.00, 2.00,3, 3.00, 105.00, 193.00, 243, 191,
 200, 11.00, 2.00,2, 3.00, 102.00, 41.00, 54, 43,
 700, 13.00, 2.00,2, 4.00, 102.00, 144.00, 187, 147,
 50, 13.00, 2.00,3, 3.00, 120.00, 12.00, 15, 11,
 300, 6.00, 1.00,1, 1.00, 102.00, 57.00, 76, 62,
 400, 6.00, 1.00,1, 1.00, 102.00, 78.00, 103, 82,
 500, 8.00, 1.00,1, 2.00, 105.00, 104.00, 129, 102,
 800, 13.00, 0.00,2, 1.00, 104.00, 173.00, 217, 170,
 100, 13.00, 2.00,3, 3.00, 104.00, 25.00, 25, 20,
 1000, 5.00, 1.00,1, 2.00, 103.00, 211.00, 259, 202,
