n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,17, 2.00, 2281.00, 0.00, 0, 0,
 600, 20.00, 0.00,17, 2.00, 2296.00, 56.00, 26, 13,
 900, 18.00, 1.00,16, 1.00, 2247.00, 103.00, 44, 21,
 200, 18.00, 0.00,17, 1.00, 2248.00, 14.00, 10, 4,
 700, 18.00, 1.00,16, 2.00, 2261.00, 73.00, 31, 16,
 50, 18.00, 0.00,17, 1.00, 2247.00, 3.00, 2, 0,
 300, 18.00, 0.00,18, 2.00, 2281.00, 23.00, 14, 7,
 400, 18.00, 1.00,16, 2.00, 2260.00, 30.00, 16, 8,
 500, 19.00, 0.00,17, 1.00, 2257.00, 44.00, 21, 10,
 800, 18.00, 1.00,16, 1.00, 2245.00, 80.00, 35, 18,
 100, 19.00, 0.00,17, 2.00, 2308.00, 6.00, 4, 2,
 1000, 18.00, 0.00,17, 1.00, 2279.00, 105.00, 45, 21,
