moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,38.20,2274.00,0.80,0.00,0.00,,10.00,38.40,2314.20,0.00,0.00,0.00
600.00,37.40,2275.20,54.80,26.00,13.00,,600.00,36.20,2268.80,11.00,26.00,13.00
900.00,36.60,2263.40,96.40,44.00,21.00,,900.00,36.40,2260.20,27.80,44.00,21.00
200.00,36.80,2262.00,14.00,10.00,4.00,,200.00,36.80,2295.20,3.00,10.00,4.00
700.00,36.20,2278.20,72.00,31.00,16.00,,700.00,36.60,2269.40,19.80,31.00,16.00
50.00,36.40,2255.00,3.00,2.00,0.00,,50.00,36.80,2295.60,1.60,2.00,0.00
300.00,37.00,2266.60,22.80,14.00,7.00,,300.00,36.60,2274.60,5.20,14.00,7.00
400.00,37.80,2262.60,31.00,16.00,8.00,,400.00,36.40,2283.60,5.60,16.00,8.00
500.00,36.40,2275.40,44.00,21.00,10.00,,500.00,37.60,2261.60,7.40,21.00,10.00
800.00,37.00,2256.00,81.40,35.00,18.00,,800.00,38.40,2272.20,20.20,35.00,18.00
100.00,37.20,2274.80,6.40,4.00,2.00,,100.00,36.60,2288.20,2.00,4.00,2.00
1000.00,36.20,2305.20,105.60,45.00,21.00,,1000.00,37.00,2253.40,27.40,45.00,21.00
