moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,10.80,104.80,3.40,5.00,2.00,,10.00,10.40,100.80,2.00,5.00,2.00
600.00,18.40,104.40,123.80,156.00,122.00,,600.00,11.40,105.60,42.60,156.00,122.00
900.00,15.00,103.80,193.60,243.00,191.00,,900.00,18.80,111.20,69.20,243.00,191.00
200.00,13.20,103.00,41.40,54.00,43.00,,200.00,16.60,104.20,14.20,54.00,43.00
700.00,11.20,105.60,144.00,187.00,147.00,,700.00,10.80,108.60,50.80,187.00,147.00
50.00,16.00,108.20,12.00,15.00,11.00,,50.00,12.00,102.00,5.60,15.00,11.00
300.00,15.60,105.60,57.60,76.00,62.00,,300.00,14.60,103.00,18.60,76.00,62.00
400.00,9.40,107.20,78.40,103.00,82.00,,400.00,9.40,101.20,26.60,103.00,82.00
500.00,12.40,108.40,103.00,129.00,102.00,,500.00,14.60,105.60,33.40,129.00,102.00
800.00,14.40,107.60,171.00,217.00,170.00,,800.00,12.20,102.80,60.80,217.00,170.00
100.00,13.80,103.40,23.00,25.00,20.00,,100.00,8.60,102.20,7.20,25.00,20.00
1000.00,13.80,107.20,210.60,259.00,202.00,,1000.00,10.60,106.80,74.60,259.00,202.00
