moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,55.80,4482.80,1.00,0.00,0.00,,10.00,55.40,4440.40,0.00,0.00,0.00
600.00,55.80,4472.00,71.20,55.00,41.00,,600.00,56.20,4435.80,26.00,55.00,41.00
900.00,55.60,4459.60,116.80,86.00,62.00,,900.00,55.80,4426.00,48.80,86.00,62.00
200.00,54.80,4447.00,26.80,19.00,14.00,,200.00,55.40,4446.40,12.00,19.00,14.00
700.00,56.60,4441.80,88.60,67.00,48.00,,700.00,56.00,4438.60,36.20,67.00,48.00
50.00,55.60,4458.20,3.80,2.00,1.00,,50.00,55.80,4442.00,0.60,2.00,1.00
300.00,55.80,4465.20,34.20,30.00,20.00,,300.00,55.60,4433.20,14.20,30.00,20.00
400.00,55.60,4476.00,44.20,38.00,27.00,,400.00,58.60,4430.00,17.40,38.00,27.00
500.00,55.40,4465.60,58.40,46.00,33.00,,500.00,55.40,4431.00,23.00,46.00,33.00
800.00,56.00,4467.80,101.80,74.00,55.00,,800.00,56.20,4471.40,42.00,74.00,55.00
100.00,56.40,4485.00,13.20,6.00,3.00,,100.00,56.00,4425.40,7.00,6.00,3.00
1000.00,55.60,4469.60,126.80,90.00,65.00,,1000.00,56.00,4450.00,53.80,90.00,65.00
