n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 10.00, 0.00,4, 1.00, 214.00, 4.00, 2, 2,
 600, 10.00, 0.00,4, 1.00, 206.00, 137.00, 133, 121,
 900, 22.00, 1.00,7, 2.00, 211.00, 216.00, 215, 192,
 200, 19.00, 1.00,5, 1.00, 209.00, 39.00, 45, 42,
 700, 9.00, 1.00,3, 2.00, 207.00, 161.00, 165, 149,
 50, 9.00, 1.00,3, 2.00, 213.00, 10.00, 12, 10,
 300, 15.00, 0.00,4, 2.00, 209.00, 57.00, 67, 61,
 400, 12.00, 0.00,4, 2.00, 209.00, 77.00, 87, 79,
 500, 9.00, 1.00,3, 1.00, 206.00, 114.00, 109, 99,
 800, 23.00, 1.00,9, 2.00, 209.00, 187.00, 188, 169,
 100, 15.00, 0.00,4, 1.00, 209.00, 18.00, 23, 20,
 1000, 18.00, 1.00,4, 1.00, 214.00, 232.00, 230, 204,
