n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 9.00, 1.00,3, 1.00, 206.00, 3.00, 2, 2,
 600, 22.00, 1.00,4, 2.00, 209.00, 85.00, 132, 121,
 900, 10.00, 0.00,3, 2.00, 209.00, 138.00, 213, 192,
 200, 9.00, 1.00,3, 1.00, 243.00, 23.00, 44, 42,
 700, 16.00, 2.00,7, 3.00, 209.00, 104.00, 163, 149,
 50, 9.00, 1.00,3, 1.00, 208.00, 6.00, 12, 10,
 300, 14.00, 1.00,4, 2.00, 208.00, 36.00, 66, 61,
 400, 10.00, 1.00,3, 2.00, 211.00, 47.00, 86, 79,
 500, 9.00, 1.00,3, 2.00, 206.00, 71.00, 108, 99,
 800, 22.00, 1.00,5, 1.00, 205.00, 119.00, 186, 169,
 100, 22.00, 1.00,6, 1.00, 207.00, 11.00, 22, 20,
 1000, 16.00, 1.00,3, 1.00, 209.00, 162.00, 228, 204,
