moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,19.0, 217.00, 4.00, 2, 2
 600,14.0, 207.00, 136.00, 133, 121
 900,31.0, 210.00, 219.00, 215, 192
 200,19.0, 234.00, 44.00, 45, 42
 700,33.0, 211.00, 168.00, 165, 149
 50,21.0, 208.00, 10.00, 12, 10
 300,15.0, 209.00, 59.00, 67, 61
 400,29.0, 211.00, 78.00, 87, 79
 500,20.0, 216.00, 117.00, 109, 99
 800,14.0, 212.00, 186.00, 188, 169
 100,15.0, 208.00, 19.00, 23, 20
 1000,16.0, 210.00, 234.00, 230, 204
