moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,37.0, 2272.00, 0.00, 0, 0
 600,36.0, 2273.00, 11.00, 26, 13
 900,37.0, 2301.00, 28.00, 44, 21
 200,36.0, 2267.00, 3.00, 10, 4
 700,36.0, 2277.00, 21.00, 31, 16
 50,36.0, 2248.00, 1.00, 2, 0
 300,36.0, 2285.00, 6.00, 14, 7
 400,37.0, 2261.00, 5.00, 16, 8
 500,36.0, 2279.00, 7.00, 21, 10
 800,36.0, 2261.00, 21.00, 35, 18
 100,36.0, 2263.00, 2.00, 4, 2
 1000,39.0, 2274.00, 27.00, 45, 21
