moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,25.0, 1344.00, 0.00, 0, 0
 600,25.0, 1343.00, 41.00, 57, 48
 900,25.0, 1398.00, 63.00, 90, 70
 200,41.0, 1341.00, 11.00, 15, 13
 700,25.0, 1348.00, 43.00, 66, 53
 50,24.0, 1342.00, 3.00, 3, 2
 300,25.0, 1338.00, 17.00, 23, 20
 400,25.0, 1339.00, 22.00, 31, 26
 500,25.0, 1342.00, 31.00, 44, 36
 800,25.0, 1346.00, 51.00, 77, 62
 100,25.0, 1341.00, 4.00, 6, 4
 1000,25.0, 1358.00, 65.00, 93, 72
