n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 1.00,16, 2.00, 2272.00, 0.00, 0, 0,
 600, 18.00, 1.00,16, 1.00, 2273.00, 11.00, 26, 13,
 900, 19.00, 0.00,16, 2.00, 2301.00, 28.00, 44, 21,
 200, 18.00, 1.00,16, 1.00, 2267.00, 3.00, 10, 4,
 700, 19.00, 0.00,16, 1.00, 2277.00, 21.00, 31, 16,
 50, 18.00, 0.00,17, 1.00, 2248.00, 1.00, 2, 0,
 300, 18.00, 0.00,17, 1.00, 2285.00, 6.00, 14, 7,
 400, 19.00, 0.00,16, 2.00, 2261.00, 5.00, 16, 8,
 500, 18.00, 0.00,17, 1.00, 2279.00, 7.00, 21, 10,
 800, 18.00, 0.00,17, 1.00, 2261.00, 21.00, 35, 18,
 100, 18.00, 1.00,16, 1.00, 2263.00, 2.00, 4, 2,
 1000, 18.00, 1.00,19, 1.00, 2274.00, 27.00, 45, 21,
