n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 28.00, 0.00,27, 1.00, 4463.00, 1.00, 0, 0,
 600, 28.00, 1.00,26, 2.00, 4477.00, 71.00, 55, 41,
 900, 27.00, 0.00,27, 1.00, 4461.00, 116.00, 86, 62,
 200, 27.00, 1.00,26, 1.00, 4439.00, 27.00, 19, 14,
 700, 27.00, 1.00,27, 1.00, 4448.00, 87.00, 67, 48,
 50, 26.00, 1.00,27, 1.00, 4482.00, 4.00, 2, 1,
 300, 27.00, 1.00,26, 1.00, 4519.00, 34.00, 30, 20,
 400, 27.00, 0.00,27, 1.00, 4493.00, 43.00, 38, 27,
 500, 27.00, 1.00,26, 1.00, 4489.00, 59.00, 46, 33,
 800, 28.00, 0.00,27, 1.00, 4478.00, 100.00, 74, 55,
 100, 28.00, 1.00,26, 2.00, 4471.00, 13.00, 6, 3,
 1000, 27.00, 0.00,27, 1.00, 4466.00, 127.00, 90, 65,
