n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 14.00, 0.00,10, 1.00, 1360.00, 0.00, 0, 0,
 600, 14.00, 1.00,10, 1.00, 1356.00, 41.00, 57, 48,
 900, 13.00, 1.00,10, 1.00, 1347.00, 64.00, 90, 70,
 200, 13.00, 0.00,10, 2.00, 1341.00, 10.00, 15, 13,
 700, 13.00, 1.00,10, 1.00, 1351.00, 44.00, 66, 53,
 50, 17.00, 1.00,11, 1.00, 1362.00, 3.00, 3, 2,
 300, 13.00, 1.00,10, 1.00, 1338.00, 16.00, 23, 20,
 400, 14.00, 0.00,10, 1.00, 1350.00, 23.00, 31, 26,
 500, 14.00, 0.00,10, 2.00, 1376.00, 31.00, 44, 36,
 800, 13.00, 1.00,10, 1.00, 1342.00, 53.00, 77, 62,
 100, 13.00, 1.00,10, 1.00, 1352.00, 3.00, 6, 4,
 1000, 16.00, 1.00,10, 1.00, 1350.00, 66.00, 93, 72,
