moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,55.0, 4426.00, 0.00, 0, 0
 600,57.0, 4446.00, 27.00, 55, 41
 900,56.0, 4406.00, 49.00, 86, 62
 200,56.0, 4444.00, 12.00, 19, 14
 700,57.0, 4423.00, 35.00, 67, 48
 50,56.0, 4449.00, 1.00, 2, 1
 300,56.0, 4435.00, 14.00, 30, 20
 400,70.0, 4411.00, 17.00, 38, 27
 500,55.0, 4441.00, 25.00, 46, 33
 800,56.0, 4431.00, 42.00, 74, 55
 100,56.0, 4419.00, 7.00, 6, 3
 1000,56.0, 4443.00, 54.00, 90, 65
