n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 14.00, 0.00,10, 2.00, 1352.00, 0.00, 0, 0,
 600, 13.00, 1.00,10, 2.00, 1342.00, 41.00, 57, 48,
 900, 13.00, 0.00,10, 2.00, 1362.00, 65.00, 90, 70,
 200, 13.00, 0.00,11, 1.00, 1363.00, 10.00, 15, 13,
 700, 14.00, 0.00,10, 2.00, 1395.00, 43.00, 66, 53,
 50, 13.00, 1.00,10, 1.00, 1354.00, 3.00, 3, 2,
 300, 14.00, 0.00,12, 1.00, 1365.00, 16.00, 23, 20,
 400, 13.00, 1.00,10, 1.00, 1353.00, 22.00, 31, 26,
 500, 13.00, 1.00,10, 1.00, 1343.00, 31.00, 44, 36,
 800, 13.00, 0.00,11, 1.00, 1363.00, 51.00, 77, 62,
 100, 14.00, 0.00,10, 2.00, 1357.00, 4.00, 6, 4,
 1000, 13.00, 1.00,10, 1.00, 1351.00, 81.00, 93, 72,
