n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 14.00, 1.00,14, 1.00, 1356.00, 2.00, 0, 0,
 600, 13.00, 1.00,11, 1.00, 1355.00, 83.00, 57, 48,
 900, 13.00, 1.00,10, 1.00, 1355.00, 128.00, 91, 70,
 200, 13.00, 1.00,12, 1.00, 1342.00, 25.00, 15, 13,
 700, 14.00, 1.00,10, 1.00, 1384.00, 90.00, 66, 53,
 50, 13.00, 1.00,10, 1.00, 1342.00, 6.00, 3, 2,
 300, 16.00, 0.00,11, 1.00, 1373.00, 35.00, 23, 20,
 400, 16.00, 0.00,10, 1.00, 1344.00, 49.00, 31, 26,
 500, 14.00, 0.00,11, 1.00, 1346.00, 67.00, 44, 36,
 800, 13.00, 1.00,10, 1.00, 1383.00, 107.00, 78, 62,
 100, 16.00, 0.00,11, 1.00, 1359.00, 10.00, 6, 4,
 1000, 14.00, 0.00,10, 2.00, 1384.00, 134.00, 94, 72,
