moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,26.40,1357.20,1.60,0.00,0.00,,10.00,25.40,1353.00,0.00,0.00,0.00
600.00,28.40,1359.00,82.40,57.00,48.00,,600.00,25.80,1350.00,41.00,57.00,48.00
900.00,25.00,1350.80,123.80,91.00,70.00,,900.00,25.00,1367.40,64.20,90.00,70.00
200.00,30.00,1355.20,25.20,15.00,13.00,,200.00,29.60,1349.40,10.60,15.00,13.00
700.00,25.00,1354.80,91.40,66.00,53.00,,700.00,25.40,1362.60,43.20,66.00,53.00
50.00,25.80,1370.40,6.80,3.00,2.00,,50.00,26.00,1357.80,3.00,3.00,2.00
300.00,26.20,1371.80,35.60,23.00,20.00,,300.00,25.60,1348.20,16.20,23.00,20.00
400.00,26.00,1361.40,49.40,31.00,26.00,,400.00,25.20,1358.40,22.20,31.00,26.00
500.00,25.60,1354.00,66.80,44.00,36.00,,500.00,25.20,1352.80,31.00,44.00,36.00
800.00,25.00,1358.60,107.00,78.00,62.00,,800.00,25.40,1353.20,51.20,77.00,62.00
100.00,25.40,1358.00,10.60,6.00,4.00,,100.00,25.20,1350.00,3.60,6.00,4.00
1000.00,25.60,1355.60,137.40,94.00,72.00,,1000.00,26.00,1350.80,68.40,93.00,72.00
