n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 27.00, 1.00,27, 1.00, 4471.00, 1.00, 0, 0,
 600, 27.00, 1.00,26, 1.00, 4466.00, 72.00, 55, 41,
 900, 27.00, 1.00,26, 2.00, 4492.00, 115.00, 86, 62,
 200, 27.00, 1.00,26, 2.00, 4438.00, 27.00, 19, 14,
 700, 28.00, 0.00,27, 1.00, 4463.00, 87.00, 67, 48,
 50, 27.00, 1.00,26, 1.00, 4466.00, 4.00, 2, 1,
 300, 27.00, 1.00,26, 1.00, 4449.00, 34.00, 30, 20,
 400, 28.00, 0.00,27, 1.00, 4490.00, 44.00, 38, 27,
 500, 28.00, 0.00,27, 1.00, 4456.00, 59.00, 46, 33,
 800, 27.00, 1.00,26, 2.00, 4486.00, 108.00, 74, 55,
 100, 27.00, 1.00,26, 1.00, 4460.00, 13.00, 6, 3,
 1000, 27.00, 1.00,26, 2.00, 4454.00, 125.00, 90, 65,
