n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 27.00, 1.00,26, 1.00, 4426.00, 0.00, 0, 0,
 600, 28.00, 1.00,26, 2.00, 4446.00, 27.00, 55, 41,
 900, 27.00, 1.00,26, 2.00, 4406.00, 49.00, 86, 62,
 200, 27.00, 1.00,26, 2.00, 4444.00, 12.00, 19, 14,
 700, 27.00, 1.00,27, 2.00, 4423.00, 35.00, 67, 48,
 50, 27.00, 1.00,27, 1.00, 4449.00, 1.00, 2, 1,
 300, 27.00, 1.00,26, 2.00, 4435.00, 14.00, 30, 20,
 400, 27.00, 1.00,41, 1.00, 4411.00, 17.00, 38, 27,
 500, 27.00, 1.00,26, 1.00, 4441.00, 25.00, 46, 33,
 800, 27.00, 1.00,26, 2.00, 4431.00, 42.00, 74, 55,
 100, 28.00, 0.00,27, 1.00, 4419.00, 7.00, 6, 3,
 1000, 28.00, 0.00,27, 1.00, 4443.00, 54.00, 90, 65,
