n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 1.00,16, 2.00, 2316.00, 1.00, 0, 0,
 600, 18.00, 0.00,19, 2.00, 2289.00, 55.00, 26, 13,
 900, 18.00, 0.00,17, 1.00, 2279.00, 95.00, 44, 21,
 200, 18.00, 1.00,16, 1.00, 2265.00, 14.00, 10, 4,
 700, 18.00, 0.00,16, 1.00, 2280.00, 72.00, 31, 16,
 50, 18.00, 0.00,17, 1.00, 2255.00, 3.00, 2, 0,
 300, 19.00, 0.00,16, 2.00, 2257.00, 23.00, 14, 7,
 400, 18.00, 1.00,16, 2.00, 2284.00, 31.00, 16, 8,
 500, 18.00, 1.00,16, 1.00, 2279.00, 43.00, 21, 10,
 800, 19.00, 1.00,16, 2.00, 2260.00, 82.00, 35, 18,
 100, 18.00, 1.00,16, 2.00, 2245.00, 6.00, 4, 2,
 1000, 18.00, 0.00,17, 1.00, 2448.00, 114.00, 45, 21,
