n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 0.00,1, 1.00, 102.00, 3.00, 5, 2,
 600, 7.00, 1.00,2, 1.00, 104.00, 124.00, 156, 122,
 900, 6.00, 1.00,1, 1.00, 101.00, 193.00, 243, 191,
 200, 12.00, 1.00,3, 2.00, 107.00, 41.00, 54, 43,
 700, 5.00, 1.00,1, 2.00, 102.00, 145.00, 187, 147,
 50, 6.00, 1.00,1, 1.00, 103.00, 12.00, 15, 11,
 300, 11.00, 2.00,2, 3.00, 103.00, 57.00, 76, 62,
 400, 6.00, 1.00,1, 1.00, 102.00, 77.00, 103, 82,
 500, 6.00, 1.00,1, 1.00, 102.00, 102.00, 129, 102,
 800, 6.00, 1.00,1, 1.00, 102.00, 171.00, 217, 170,
 100, 13.00, 2.00,3, 3.00, 106.00, 22.00, 25, 20,
 1000, 6.00, 1.00,1, 1.00, 104.00, 212.00, 259, 202,
