n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 12549.00,1.00, 1,
 600, 12575.00,64.00, 43,
 900, 12580.00,91.00, 57,
 200, 12670.00,20.00, 13,
 700, 12593.00,74.00, 45,
 50, 12655.00,5.00, 0,
 300, 12648.00,32.00, 21,
 400, 12548.00,42.00, 22,
 500, 12572.00,52.00, 34,
 800, 12586.00,80.00, 36,
 100, 12577.00,11.00, 8,
 1000, 12575.00,105.00, 75,
