n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 39755.00,1.00, 0,
 600, 39845.00,68.00, 37,
 900, 40017.00,108.00, 61,
 200, 39828.00,25.00, 14,
 700, 39855.00,81.00, 40,
 50, 40559.00,5.00, 0,
 300, 40176.00,39.00, 17,
 400, 39610.00,58.00, 16,
 500, 39853.00,56.00, 26,
 800, 40386.00,83.00, 36,
 100, 39811.00,12.00, 7,
 1000, 39921.00,116.00, 59,
