n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 157006.00,1.00, 1,
 600, 157236.00,73.00, 49,
 900, 157655.00,107.00, 60,
 200, 156960.00,22.00, 14,
 700, 157131.00,84.00, 34,
 50, 156964.00,4.00, 0,
 300, 156957.00,34.00, 20,
 400, 157090.00,46.00, 23,
 500, 156950.00,60.00, 42,
 800, 157817.00,115.00, 38,
 100, 157051.00,10.00, 7,
 1000, 157931.00,112.00, 79,
