n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 39495.00,1.00, 0,
 600, 39267.00,65.00, 37,
 900, 39221.00,108.00, 61,
 200, 39375.00,26.00, 14,
 700, 39237.00,80.00, 40,
 50, 39511.00,5.00, 0,
 300, 39518.00,38.00, 17,
 400, 39484.00,52.00, 16,
 500, 39337.00,55.00, 26,
 800, 39256.00,84.00, 36,
 100, 39609.00,12.00, 7,
 1000, 39253.00,117.00, 59,
