n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 12695.00,1.00, 1,
 600, 12629.00,65.00, 43,
 900, 12587.00,92.00, 57,
 200, 12672.00,20.00, 13,
 700, 12601.00,72.00, 45,
 50, 12880.00,5.00, 0,
 300, 12646.00,31.00, 21,
 400, 12702.00,42.00, 22,
 500, 12700.00,53.00, 34,
 800, 12569.00,81.00, 36,
 100, 12731.00,11.00, 8,
 1000, 12615.00,105.00, 75,
