n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 929.00,1.00, 2,
 600, 922.00,61.00, 139,
 900, 928.00,90.00, 161,
 200, 926.00,21.00, 40,
 700, 925.00,72.00, 139,
 50, 921.00,5.00, 5,
 300, 927.00,30.00, 55,
 400, 929.00,41.00, 82,
 500, 926.00,51.00, 104,
 800, 921.00,78.00, 122,
 100, 925.00,11.00, 21,
 1000, 927.00,100.00, 209,
